Node.1	Node.2	wTO
ENSG00000239779	ENSG00000271853	0.52
ENSG00000239779	ENSG00000149357	0.53
ENSG00000239779	ENSG00000189171	0.51
ENSG00000239779	ENSG00000163344	0.51
ENSG00000239779	ENSG00000115268	0.53
ENSG00000239779	ENSG00000149932	0.53
ENSG00000239779	ENSG00000260669	0.53
ENSG00000239779	ENSG00000234171	0.51
ENSG00000239779	ENSG00000157734	0.52
ENSG00000239779	ENSG00000189042	-0.51
ENSG00000239779	ENSG00000262560	0.51
ENSG00000239779	ENSG00000131408	0.53
ENSG00000239779	ENSG00000257949	0.51
ENSG00000239779	ENSG00000063177	0.52
ENSG00000239779	ENSG00000268193	0.53
ENSG00000239779	ENSG00000142534	0.51
ENSG00000239779	ENSG00000268983	0.54
ENSG00000239779	ENSG00000168936	0.53
ENSG00000239779	ENSG00000162244	0.52
ENSG00000239779	ENSG00000125611	0.51
ENSG00000239779	ENSG00000106330	0.52
ENSG00000239779	ENSG00000105373	0.52
ENSG00000239779	ENSG00000135446	0.53
ENSG00000239779	ENSG00000106628	0.54
ENSG00000157916	ENSG00000161671	0.53
ENSG00000157916	ENSG00000134775	-0.52
ENSG00000157916	ENSG00000048740	-0.52
ENSG00000157916	ENSG00000151376	-0.52
ENSG00000157916	ENSG00000105767	0.53
ENSG00000157916	ENSG00000112242	-0.53
ENSG00000253133	ENSG00000182149	0.52
ENSG00000253133	ENSG00000160307	0.51
ENSG00000257522	ENSG00000182149	-0.51
ENSG00000227198	ENSG00000229151	-0.52
ENSG00000227198	ENSG00000170579	-0.52
ENSG00000227198	ENSG00000151376	-0.51
ENSG00000149357	ENSG00000104825	0.53
ENSG00000149806	ENSG00000104825	0.52
ENSG00000149806	ENSG00000149932	0.52
ENSG00000104825	ENSG00000145687	-0.53
ENSG00000104825	ENSG00000115268	0.53
ENSG00000104825	ENSG00000145592	0.52
ENSG00000104825	ENSG00000177600	0.53
ENSG00000104825	ENSG00000260669	0.53
ENSG00000104825	ENSG00000131408	0.53
ENSG00000213204	ENSG00000274049	-0.53
ENSG00000213204	ENSG00000177600	-0.52
ENSG00000213204	ENSG00000268193	-0.53
ENSG00000274049	ENSG00000106603	-0.52
ENSG00000274049	ENSG00000071889	0.53
ENSG00000274049	ENSG00000106330	0.53
ENSG00000274049	ENSG00000161677	0.53
ENSG00000145592	ENSG00000160307	0.51
ENSG00000149932	ENSG00000168028	0.51
ENSG00000149932	ENSG00000130717	0.53
ENSG00000149932	ENSG00000260669	0.52
ENSG00000149932	ENSG00000161016	0.53
ENSG00000149932	ENSG00000171858	0.51
ENSG00000149932	ENSG00000169738	0.52
ENSG00000113805	ENSG00000182149	-0.51
ENSG00000159176	ENSG00000182149	0.51
ENSG00000079102	ENSG00000182149	-0.51
ENSG00000229151	ENSG00000153814	0.53
ENSG00000229151	ENSG00000117362	-0.52
ENSG00000161671	ENSG00000268854	0.53
ENSG00000161671	ENSG00000100226	0.53
ENSG00000248223	ENSG00000182149	0.51
ENSG00000144331	ENSG00000185760	0.52
ENSG00000166441	ENSG00000181924	0.51
ENSG00000204439	ENSG00000170579	-0.52
ENSG00000153814	ENSG00000117069	0.52
ENSG00000153814	ENSG00000181924	-0.51
ENSG00000153814	ENSG00000099203	-0.52
ENSG00000153814	ENSG00000185760	0.51
ENSG00000167995	ENSG00000182149	0.52
ENSG00000182149	ENSG00000196743	0.52
ENSG00000182149	ENSG00000109099	0.52
ENSG00000182149	ENSG00000108387	0.52
ENSG00000182149	ENSG00000125457	0.52
ENSG00000182149	ENSG00000264672	0.52
ENSG00000181924	ENSG00000135446	0.51
ENSG00000134775	ENSG00000268854	-0.53
ENSG00000115649	ENSG00000151376	-0.51
